19,26,26,26,26,18,26,26,18,26,26,26,26,26,26,26,26,18,26,26,18,26,26,26,26,22,
21,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,21,
21,0,0,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,21,
17,26,26,26,26,28,0,0,17,26,26,22,0,0,19,26,26,20,0,0,25,26,26,26,26,20,
21,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,21,0,0,0,0,0,0,0,21,
25,26,18,26,26,22,0,0,21,0,0,21,0,0,21,0,0,21,0,0,19,26,26,18,26,28,
0,0,21,0,0,21,0,0,21,0,0,25,26,26,28,0,0,21,0,0,21,0,0,21,0,0,
0,0,21,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,
19,26,28,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,25,26,22,
21,0,0,0,0,17,26,26,16,26,26,26,18,18,26,26,26,16,26,26,20,0,0,0,0,21,
21,0,0,0,0,21,0,0,21,0,0,0,17,20,0,0,0,21,0,0,21,0,0,0,0,21,
25,26,18,26,26,28,0,0,21,0,19,18,16,16,18,22,0,21,0,0,25,26,26,18,26,28,
0,0,21,0,0,0,0,0,21,0,17,16,16,16,16,20,0,21,0,0,0,0,0,21,0,0,
0,0,21,0,0,0,0,0,21,0,25,24,24,24,24,28,0,21,0,0,0,0,0,21,0,0,
0,0,17,26,26,22,0,0,21,0,0,0,0,0,0,0,0,21,0,0,19,26,26,20,0,0,
0,0,21,0,0,21,0,0,17,26,26,26,26,26,26,26,26,20,0,0,21,0,0,21,0,0,
0,0,21,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,
19,26,28,0,0,17,26,26,24,26,26,22,0,0,19,26,26,24,26,26,20,0,0,25,26,22,
21,0,0,0,0,21,0,0,0,0,0,21,0,0,21,0,0,0,0,0,21,0,0,0,0,21,
25,26,18,26,26,16,26,26,18,26,26,24,26,26,24,26,26,18,26,26,16,26,26,18,26,28,
0,0,21,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,
0,0,21,0,0,21,0,0,21,0,0,0,0,0,0,0,0,21,0,0,21,0,0,21,0,0,
19,26,28,0,0,21,0,0,25,26,26,22,0,0,19,26,26,28,0,0,21,0,0,25,26,22,
21,0,0,0,0,21,0,0,0,0,0,21,0,0,21,0,0,0,0,0,21,0,0,0,0,21,
21,0,0,0,0,21,0,0,0,0,0,21,0,0,21,0,0,0,0,0,21,0,0,0,0,21,
25,26,26,26,26,24,26,26,26,26,26,24,26,26,24,26,26,26,26,26,24,26,26,26,26,28
